holding_id,portfolio_id,ticker,quantity,purchase_price,current_value
H000001,P675686,TSLA,742.94,343.23,116581.24
H000002,P675686,TSLA,803.44,495.54,310494.76
H000003,P675686,TSLA,748.84,177.43,275126.85
H000004,P675686,VTI,534.99,175.68,211623.52
H000005,P675686,IVV,326.17,245.45,53807.32
H000006,P675686,IVV,525.37,119.44,258614.73
H000007,P675686,VTI,132.9,186.22,50126.62
H000008,P675686,VTI,592.35,274.28,203935.99
H000009,P675686,VTI,148.0,300.23,69409.2
H000010,P675686,VTI,625.07,154.18,308283.73
H000011,P844605,VTI,442.01,365.06,81081.75
H000012,P844605,VTI,376.65,192.83,155635.79
H000013,P844605,TSLA,25.55,271.43,9011.0
H000014,P837917,TSLA,73.32,201.71,30431.46
H000015,P837917,IVV,52.22,480.66,19135.68
H000016,P837917,AAPL,850.69,208.7,400944.2
H000017,P837917,TSLA,836.65,55.29,60641.26
H000018,P837917,TSLA,846.99,149.62,60443.15
H000019,P837917,AMZN,483.32,495.3,125709.99
H000020,P837917,SPY,735.76,277.16,89105.53
H000021,P837917,GOOGL,760.17,247.74,216436.84
H000022,P837917,AMZN,837.78,218.02,346229.49
H000023,P898361,TSLA,764.42,244.71,215001.08
H000024,P898361,MSFT,569.19,488.09,81877.74
H000025,P898361,MSFT,383.61,209.39,115556.96
H000026,P968008,AAPL,836.83,217.54,328112.38
H000027,P968008,VTI,261.67,489.19,46984.07
H000028,P968008,TSLA,815.48,480.79,59197.5
H000029,P968008,AMZN,453.72,59.34,131015.95
H000030,P968008,AAPL,193.02,354.55,62302.0
H000031,P968008,GOOGL,327.6,301.97,55006.56
H000032,P934755,IVV,328.6,350.27,140229.28
H000033,P934755,SPY,56.8,495.91,26500.13
H000034,P934755,GOOGL,807.15,166.51,254142.89
H000035,P934755,TSLA,538.42,216.62,124427.95
H000036,P934755,MSFT,219.81,137.29,60621.48
H000037,P934755,VTI,679.31,252.1,202485.16
H000038,P934755,VTI,315.34,446.63,115850.1
H000039,P799750,VTI,647.3,225.98,60448.98
H000040,P799750,VTI,897.75,439.38,71641.32
H000041,P799750,MSFT,35.99,295.71,15055.4
H000042,P799750,IVV,409.8,60.35,195045.96
H000043,P556549,SPY,634.95,216.53,92438.45
H000044,P556549,AMZN,178.59,262.57,71021.06
H000045,P556549,AMZN,316.86,277.96,138098.94
H000046,P556549,AMZN,143.69,328.52,25025.39
H000047,P556549,TSLA,20.25,186.29,1714.4
H000048,P556549,MSFT,608.57,212.22,44236.19
H000049,P556549,MSFT,664.43,333.38,121691.31
H000050,P556549,AMZN,501.2,457.0,152249.96
H000051,P203407,AMZN,132.58,125.58,27083.47
H000052,P203407,MSFT,29.19,495.72,8173.81
H000053,P203407,VTI,359.29,285.31,82137.35
H000054,P203407,GOOGL,645.32,302.42,187191.43
H000055,P203407,AAPL,417.32,165.23,129538.27
H000056,P203407,IVV,119.96,296.55,11548.12
H000057,P291160,GOOGL,211.03,236.68,75278.53
H000058,P291160,MSFT,832.72,336.25,349619.22
H000059,P291160,AAPL,52.92,170.86,21186.33
H000060,P291160,GOOGL,444.78,145.67,190791.89
H000061,P750774,AAPL,569.93,312.81,210940.36
H000062,P750774,GOOGL,494.94,206.11,121285.69
H000063,P750774,SPY,808.55,157.51,360814.44
H000064,P750774,VTI,825.3,330.75,240948.28
H000065,P750774,TSLA,819.58,205.03,261164.5
H000066,P750774,AMZN,419.76,418.34,120421.81
H000067,P750774,TSLA,787.37,450.4,390968.49
H000068,P750774,IVV,147.42,139.34,70657.03
H000069,P723393,AMZN,135.17,350.22,27735.98
H000070,P723393,SPY,463.65,378.8,195165.88
H000071,P723393,AMZN,549.22,436.08,69046.95
H000072,P723393,IVV,415.24,206.57,173308.39
