portfolio_id,client_id,portfolio_name,total_value,currency,creation_date
P675686,1,Sustainable Investment Portfolio,253215.57,EUR,2021-06-26
P844605,1,Dynamic Opportunities Portfolio,565317.1,CHF,2017-03-09
P837917,2,Global Diversification Portfolio,571440.85,CHF,2017-08-26
P898361,3,High-Yield Income Portfolio,427991.33,USD,2024-08-06
P968008,3,Balanced Growth Portfolio,896606.29,USD,2017-09-06
P934755,4,Balanced Growth Portfolio,750486.3,CHF,2020-10-10
P799750,4,Sustainable Investment Portfolio,109966.65,EUR,2023-07-08
P556549,4,Dynamic Opportunities Portfolio,823920.76,USD,2015-05-12
P203407,5,Global Diversification Portfolio,791714.91,USD,2021-07-06
P291160,6,Sustainable Investment Portfolio,877084.2,CHF,2021-12-20
P750774,6,Dynamic Opportunities Portfolio,79654.04,EUR,2015-03-03
P723393,7,Dynamic Opportunities Portfolio,928244.24,CHF,2023-12-23
P968621,7,Balanced Growth Portfolio,630058.14,CHF,2019-10-21
P834010,8,High-Yield Income Portfolio,729983.99,EUR,2015-10-23
P436119,8,Dynamic Opportunities Portfolio,973376.6,USD,2020-06-04
P514941,9,Global Diversification Portfolio,485730.83,CHF,2020-09-22
P130499,9,Balanced Growth Portfolio,110777.88,CHF,2017-07-30
P406499,10,Conservative Wealth Plan Portfolio,331182.91,CHF,2019-05-27
P970059,10,Balanced Growth Portfolio,962792.57,USD,2021-11-06
P532608,10,High-Yield Income Portfolio,502773.98,EUR,2015-08-28
P574667,11,Dynamic Opportunities Portfolio,721917.93,CHF,2021-03-28
P656897,11,High-Yield Income Portfolio,749079.9,CHF,2023-10-03
P108176,11,High-Yield Income Portfolio,354778.06,EUR,2024-05-19
P376119,12,Conservative Wealth Plan Portfolio,440990.95,CHF,2021-12-18
P340982,13,Sustainable Investment Portfolio,553123.76,CHF,2020-06-19
P815711,14,Dynamic Opportunities Portfolio,399530.07,USD,2019-12-29
P272102,14,High-Yield Income Portfolio,701458.45,EUR,2021-09-02
P838105,14,High-Yield Income Portfolio,964911.01,EUR,2019-07-28
P714987,15,Global Diversification Portfolio,768841.28,CHF,2020-09-30
P527869,16,Conservative Wealth Plan Portfolio,627028.26,EUR,2016-10-17
P994362,16,Dynamic Opportunities Portfolio,239460.26,USD,2024-07-04
P890748,16,Conservative Wealth Plan Portfolio,724783.47,EUR,2020-07-31
P164591,17,Global Diversification Portfolio,203682.57,CHF,2023-07-28
P100911,18,Sustainable Investment Portfolio,435396.73,CHF,2021-11-06
P810326,18,Balanced Growth Portfolio,653469.42,USD,2021-04-25
P848543,19,Dynamic Opportunities Portfolio,167095.49,CHF,2021-10-31
P496697,19,Balanced Growth Portfolio,362255.17,USD,2022-04-24
P185824,20,Dynamic Opportunities Portfolio,695581.26,EUR,2016-09-19
P882835,20,Global Diversification Portfolio,883022.89,CHF,2023-07-19
P514851,21,Conservative Wealth Plan Portfolio,75780.04,CHF,2020-12-12
P526413,21,Sustainable Investment Portfolio,69501.64,EUR,2017-10-05
P869514,22,Balanced Growth Portfolio,487790.49,EUR,2022-04-27
P715324,22,High-Yield Income Portfolio,854600.8,USD,2016-07-04
P225901,22,High-Yield Income Portfolio,918935.39,USD,2015-06-15
P608378,23,Global Diversification Portfolio,919867.17,USD,2016-03-30
P811360,23,Sustainable Investment Portfolio,473555.47,USD,2022-10-07
P135096,23,High-Yield Income Portfolio,437042.56,USD,2024-01-22
P145834,24,Sustainable Investment Portfolio,265635.4,EUR,2016-03-12
P211855,25,Global Diversification Portfolio,494903.87,USD,2018-11-29
P558602,25,Sustainable Investment Portfolio,287439.86,EUR,2016-09-28
P341129,25,Conservative Wealth Plan Portfolio,764058.84,CHF,2019-11-02
P107108,26,Balanced Growth Portfolio,685567.7,EUR,2024-02-07
P384934,26,High-Yield Income Portfolio,234989.11,USD,2019-01-12
P417635,27,Dynamic Opportunities Portfolio,270518.38,USD,2024-01-12
P205352,27,Dynamic Opportunities Portfolio,704315.48,EUR,2020-08-22
P892088,27,Dynamic Opportunities Portfolio,827398.44,USD,2018-09-20
P736121,28,Balanced Growth Portfolio,375565.95,USD,2019-07-20
P173494,28,Sustainable Investment Portfolio,491652.09,CHF,2020-08-08
P178823,29,Conservative Wealth Plan Portfolio,393567.25,EUR,2019-12-14
P815724,29,High-Yield Income Portfolio,527699.32,USD,2018-05-04
P355872,29,Conservative Wealth Plan Portfolio,681870.05,USD,2022-08-29
P209083,30,Global Diversification Portfolio,542697.72,CHF,2017-04-06
P507086,30,Conservative Wealth Plan Portfolio,657672.66,CHF,2018-09-23
P187741,30,Balanced Growth Portfolio,248477.88,USD,2022-01-13
P247258,31,Global Diversification Portfolio,109020.18,EUR,2020-12-09
P543558,31,Dynamic Opportunities Portfolio,924544.61,CHF,2016-10-11
P206915,32,Dynamic Opportunities Portfolio,400182.0,EUR,2024-09-25
P579228,33,High-Yield Income Portfolio,338194.55,EUR,2018-02-12
P669936,34,Balanced Growth Portfolio,333919.29,EUR,2022-05-28
P603147,34,Global Diversification Portfolio,174046.86,USD,2017-01-27
